date,open,high,low,close,volume
2024-01-01 00:00:00,2281.87,2297.18,2281.27,2295.51,10771.9183
2024-01-01 01:00:00,2295.52,2306.6,2292.9,2303.72,8413.426
2024-01-01 02:00:00,2303.72,2304.72,2291.2,2293.02,5808.2533
2024-01-01 03:00:00,2293.03,2294.5,2271.0,2273.81,10745.736
2024-01-01 04:00:00,2273.8,2279.86,2265.24,2279.55,9681.5762
2024-01-01 05:00:00,2279.54,2283.36,2272.62,2275.89,6705.1165
2024-01-01 06:00:00,2275.89,2283.31,2274.16,2281.9,6056.6319
2024-01-01 07:00:00,2281.9,2287.88,2281.51,2284.67,5664.1887
2024-01-01 08:00:00,2284.68,2287.38,2280.0,2287.01,5571.1935
2024-01-01 09:00:00,2287.01,2300.0,2287.0,2299.8,8083.262
2024-01-01 10:00:00,2299.8,2303.0,2297.4,2302.04,8188.7741
2024-01-01 11:00:00,2302.04,2305.05,2299.0,2304.47,6050.8796
2024-01-01 12:00:00,2304.47,2307.24,2299.04,2299.43,7257.2379
2024-01-01 13:00:00,2299.42,2308.2,2298.07,2304.16,5288.8224
2024-01-01 14:00:00,2304.16,2305.11,2294.84,2300.99,7316.2575
2024-01-01 15:00:00,2300.99,2318.34,2299.2,2314.7,12303.5344
2024-01-01 16:00:00,2314.69,2319.55,2306.53,2309.89,11755.1864
2024-01-01 17:00:00,2309.89,2317.09,2306.48,2313.76,8560.8241
2024-01-01 18:00:00,2313.77,2331.77,2313.76,2326.9,15349.3543
2024-01-01 19:00:00,2326.9,2340.98,2322.0,2337.26,11136.8878
2024-01-01 20:00:00,2337.27,2348.78,2335.25,2340.98,17493.0377
2024-01-01 21:00:00,2340.98,2346.55,2332.2,2337.83,10238.9674
2024-01-01 22:00:00,2337.83,2339.1,2323.66,2334.21,6444.2583
2024-01-01 23:00:00,2334.22,2352.37,2334.17,2352.04,11817.3671
2024-01-02 00:00:00,2352.05,2391.43,2346.95,2387.58,40687.4646
2024-01-02 01:00:00,2387.59,2397.56,2370.38,2378.08,29424.4237
2024-01-02 02:00:00,2378.09,2382.96,2373.65,2382.95,13292.5147
2024-01-02 03:00:00,2382.96,2388.61,2371.47,2386.43,16262.0974
2024-01-02 04:00:00,2386.42,2390.44,2378.58,2387.66,12124.3336
2024-01-02 05:00:00,2387.66,2392.4,2377.18,2377.48,14852.3142
2024-01-02 06:00:00,2377.47,2383.68,2373.86,2373.86,10223.5551
2024-01-02 07:00:00,2373.86,2388.93,2373.69,2385.84,13341.4557
2024-01-02 08:00:00,2385.84,2431.3,2380.09,2426.49,48568.8207
2024-01-02 09:00:00,2426.49,2428.43,2411.74,2413.77,21469.8389
2024-01-02 10:00:00,2413.77,2416.4,2392.85,2398.14,19010.6342
2024-01-02 11:00:00,2398.15,2402.91,2380.36,2391.24,17120.8522
2024-01-02 12:00:00,2391.24,2404.68,2382.73,2386.85,15110.638
2024-01-02 13:00:00,2386.85,2400.78,2382.22,2398.0,13619.2626
2024-01-02 14:00:00,2398.01,2402.65,2354.92,2367.28,33817.2174
2024-01-02 15:00:00,2367.27,2371.14,2352.04,2357.48,25617.6125
2024-01-02 16:00:00,2357.48,2369.6,2350.19,2367.91,18916.5505
2024-01-02 17:00:00,2367.92,2368.14,2350.95,2357.43,11178.9001
2024-01-02 18:00:00,2357.43,2369.6,2355.54,2365.7,8386.0845
2024-01-02 19:00:00,2365.7,2372.75,2354.79,2369.19,18480.2093
2024-01-02 20:00:00,2369.19,2380.0,2358.32,2359.87,15536.6175
2024-01-02 21:00:00,2359.86,2366.34,2341.0,2366.34,16682.1997
2024-01-02 22:00:00,2366.33,2372.5,2357.53,2359.03,9548.8149
2024-01-02 23:00:00,2359.02,2363.24,2351.0,2355.34,14769.2522
2024-01-03 00:00:00,2355.35,2367.0,2347.4,2361.39,14703.209
2024-01-03 01:00:00,2361.39,2375.0,2360.04,2373.08,10216.5552
2024-01-03 02:00:00,2373.08,2384.66,2367.33,2368.75,14123.3289
2024-01-03 03:00:00,2368.75,2370.31,2364.21,2368.51,7666.7494
2024-01-03 04:00:00,2368.51,2373.9,2363.21,2370.5,11719.5227
2024-01-03 05:00:00,2370.51,2379.61,2367.99,2376.94,9631.564
2024-01-03 06:00:00,2376.94,2380.9,2373.6,2375.34,9648.9752
2024-01-03 07:00:00,2375.35,2379.68,2356.99,2361.64,15554.4245
2024-01-03 08:00:00,2361.65,2371.4,2361.26,2370.5,11377.5475
2024-01-03 09:00:00,2370.5,2385.45,2370.29,2376.01,17937.7063
2024-01-03 10:00:00,2376.02,2380.84,2360.88,2364.58,20258.2137
2024-01-03 11:00:00,2364.58,2365.62,2294.01,2307.68,59133.3805
2024-01-03 12:00:00,2307.99,2308.6,2100.0,2248.55,209264.8157
2024-01-03 13:00:00,2248.55,2248.8,2206.96,2223.79,65271.6267
2024-01-03 14:00:00,2223.79,2224.0,2191.0,2193.77,48027.5734
